No.,Name,Qty,Price in ₹,Price in $,Link,Notes
1,MY1020 DC Brushless Motor,1,"₹5,293.00",$56.43,https://robu.in/product/500w-24v-dc-2500-rpm-for-scooter-bike-go-kart-minibike-e-atv-my1020/, 
2,Custom sprocket for wheel T8F CNC,1,"₹4,700.00",$50.11,https://jlccnc.com/cnc-machining-quote, 
3,Suspension for front wheel,2,"₹6,858.00",$73.12,https://www.alibaba.com/product-detail/DNM-DV-22AR-Bicycle-Suspension-Rear_1600563601893.html?chatToken=TDFKeWNGRlpkWFZTWmtkNFRYRnZjVWxhVTBsU2RVcHNkRVpKVTJsMlRteERiM0ZyWlhrM2VHMXhZeTkwTVVSb2RIQnFRMGxKTmtONE9GSllWWFFyVGtrd0syaFhUR0psTUZBM1JGRjJUbEF6Um1KRVRIVkpWVkl6Ympab0wySkNiamxvV0dScGJUZGFWMVppVjFWRGFqSXhURGx4TlRSV1YwNXlaV0ZGUW00M1JFSTJSVWh4U3pFeldISjFhMHBUVjAxRGMxWlVPRmwxYlhsdWVHZFBhMGxHZG1kbGN6UmFUVnBqUFE9PSZ2ZXJzaW9uPTIuMC4w&encryptTargetLoginId=8pctgRBMALNgLhH3Yg7vXTrmO4W2OY9Xf5aDzdZyulA%3D, 
4,Spot welder for battery,1,"₹1,500.00",$15.99,https://roboticsdna.in/product/12v-battery-storage-spot-welding-machine-circuit-board/?srsltid=AfmBOoqAByMRvdveJTFbBpo2d76a6FZxr8-br_5979kHegc0znlj-ckKygc, 
5,Throttle with voltmeter + key,1,₹605.00,$6.45,https://robu.in/product/digital-throttle-with-key-for-ebike/, 
6,BMS(battery managment system) 24V 7S,1,"₹1,511.00",$16.11,https://robu.in/product/daly-li-ion-7s-25-9v-40a-battery-management-system/#tab-robu_other_tab,Out of stock rn but new stock is coming :)
7,"Wheels (pneumatic) 10""",2,"₹3,598.00",$38.36,https://www.amazon.in/10-Inch-Pneumatic-Rubber-10x3-00-4-Bearing/dp/B0FKBJ31QK?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&th=1, 
8,Grip tape for feet deck,1,₹354.00,$3.77,https://www.amazon.in/Unity-Brand-Non-Slip-Traction-Slipping/dp/B0FPML39W1/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.afT6wn3jT9eywVd8qSMV5nWrZgEpbQAqymzTs-PESaIWbFrTetund73ATmvl55xOJyQ3iseva8PKQY1uK9VsAlOANknBhnsKw8V4iF5AeCXeNPWlGYkR3tIJ6MNSYSmn_kFSnK-gcdkGoFSWlcWnfdtMcTQk_TUfgijWLf4npF7J9bj40v89GAUyO_4tI8Gh1DCCKnUGUypaIx85y3W4R0bmvsUg0OatN4mlO9HO69r2PT9FTui-loviH6xey_OBgHndSWg6ruzE7nYvtiKntj6CCKTIYW7XLyL_Kdt52N8.ju5wF68NsXLPCBxqNPOZxsuhDU7h4bGWDL6RIV-oS70&dib_tag=se&keywords=Grip%2BTape&qid=1774889695&sr=8-1-spons&aref=6O01kDFTPd&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1, 
9,7S4P battery back 18650 cells,28,"₹10,976.00",$117.02,https://robu.in/product/lg-18650-mj1-3400mah-3c-li-ion-battery/,Out of stock rn but robu team has informed that new stock is coming :)
10,Motor controller 500W 24V,1,₹881.00,$9.39,https://robu.in/product/motor-controller-24v-500w-my1020-diy-electric-bicycle-kit/, 
11,MS steel and rods,10,"₹3,500.00",$37.32,Offline hardware store,For the frame.
12,12mm steel rod for suspension,1,₹630.00,$6.72,https://www.amazon.in/VAKOOBA-Steel-12mm-diameter-lenght/dp/B0C56W8L2J, 
13,16mm steel rod for wheels,1,₹450.00,$4.80,https://robokits.co.in/mechanical-parts/cnc-router-xyz-axis-part/astro-chrome-plated-steel-rods/astro-super-smooth-hard-chrome-plated-16mm-diameter-carbon-steel-rod-1000mm-long?srsltid=AfmBOooHzxINfHjwZEeg4ojR0t-2JXdh2bxKNsWEypaRlqMLPGd9I0LsdMM, 
14,#40 Roller Chain x 3 feet,1,"₹2,380.00",$25.38,https://www.amazon.in/PGN-Roller-Chain-feet-Connecting/dp/B07NPT53D4, 
15,Screws+brass inserts,10+,₹125.00,$1.33,https://onlyscrews.in/, 
16,Bearings,4,"₹1,317.00",$14.04,https://www.cyclop.in/collections/headsets-stems/products/token-head-set-parts-bearing,Headset+suspension
17,,,,,, 
18,,,,,, 
19,,,,,, 
Total:,,,"₹44,678.00",$476.35,,
